Delivery Date,Delivery Hour,Repeated Hour Flag,dam,rtm
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,19.97,24.56
2022-01-01,3,N,19.97,24.56
2022-01-01,3,N,19.97,24.56
2022-01-01,3,N,19.97,24.56
2022-01-01,3,N,19.97,24.56
2022-01-01,3,N,19.97,24.56
2022-01-01,3,N,19.97,24.56
2022-01-01,3,N,19.97,24.56
2022-01-01,3,N,19.97,24.56
2022-01-01,3,N,19.97,24.56
2022-01-01,3,N,19.97,24.56
2022-01-01,3,N,19.97,24.56
2022-01-01,3,N,19.97,24.56
2022-01-01,3,N,19.97,24.56
2022-01-01,3,N,19.97,24.56
2022-01-01,3,N,19.97,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,3,N,22.91,24.56
2022-01-01,4,N,18.56,21.63
2022-01-01,4,N,18.56,21.63
2022-01-01,4,N,18.56,21.63
2022-01-01,4,N,18.56,21.63
2022-01-01,4,N,18.56,21.63
2022-01-01,4,N,18.56,21.63
2022-01-01,4,N,18.56,21.63
2022-01-01,4,N,18.56,21.63
2022-01-01,4,N,18.56,21.63
2022-01-01,4,N,18.56,21.63
2022-01-01,4,N,18.56,21.63
2022-01-01,4,N,18.56,21.63
2022-01-01,4,N,18.56,21.63
2022-01-01,4,N,18.56,21.63
