date,tb2_revenue
1/8/2022 4:30,1.44
1/8/2022 4:45,1.38
1/8/2022 5:00,3.38
1/8/2022 5:15,4.72
1/8/2022 5:30,4.3
1/8/2022 5:45,9.04
1/9/2022 0:00,12.24
1/9/2022 0:15,13.24
1/9/2022 0:30,12.22
1/9/2022 0:45,13
1/9/2022 1:00,20.56
1/9/2022 1:15,36.28
1/9/2022 1:30,45.3
1/9/2022 1:45,47.86
1/9/2022 2:00,50.78
1/9/2022 2:15,52.44
1/9/2022 2:30,52.72
1/9/2022 2:45,51.36
1/9/2022 3:00,51.48
1/9/2022 3:15,48.96
1/9/2022 3:30,47.18
1/9/2022 3:45,26.98
1/9/2022 4:00,6.66
1/9/2022 4:15,2.98
1/9/2022 4:30,2.6
1/9/2022 4:45,3.3
1/9/2022 5:00,5.58
1/9/2022 5:15,9.34
1/9/2022 5:30,8.04
1/9/2022 5:45,8.72
1/10/2022 0:00,10.7
1/10/2022 0:15,10.02
1/10/2022 0:30,10.2
1/10/2022 0:45,10.96
1/10/2022 1:00,10.4
1/10/2022 1:15,14.12
1/10/2022 1:30,19.74
1/10/2022 1:45,20.1
1/10/2022 2:00,14.42
1/10/2022 2:15,11.38
1/10/2022 2:30,10.28
1/10/2022 2:45,9.34
1/10/2022 3:00,8.14
1/10/2022 3:15,5.24
1/10/2022 3:30,3.84
1/10/2022 3:45,2.46
1/10/2022 4:00,2.14
1/10/2022 4:15,7.16
1/10/2022 4:30,5.22
1/10/2022 4:45,4.7
1/10/2022 5:00,3.68
1/10/2022 5:15,2.04
1/10/2022 5:30,3.56
1/10/2022 5:45,0.94
1/11/2022 0:00,2.48
1/11/2022 0:15,2.4
1/11/2022 0:30,2.9
1/11/2022 0:45,3.36
1/11/2022 1:00,4.32
1/11/2022 1:15,5.42
1/11/2022 1:30,9.8
1/11/2022 1:45,9.12
1/11/2022 2:00,5.68
1/11/2022 2:15,3.84
1/11/2022 2:30,1.76
1/11/2022 2:45,1.02
1/11/2022 3:00,1.3
1/11/2022 3:15,2.28
1/11/2022 3:30,1.9
1/11/2022 3:45,1.04
1/11/2022 4:00,0.7
1/11/2022 4:15,3.14
1/11/2022 4:30,2.46
1/11/2022 4:45,1.42
1/11/2022 5:00,1.42
1/11/2022 5:15,1.62
1/11/2022 5:30,1.96
1/11/2022 5:45,1.32
1/12/2022 0:00,2.9
1/12/2022 0:15,0.3
1/12/2022 0:30,0.02
1/12/2022 0:45,0.04
1/12/2022 1:00,0.1
1/12/2022 1:15,1.74
1/12/2022 1:30,1.34
1/12/2022 1:45,2.06
1/12/2022 2:00,1.24
1/12/2022 2:15,0.72
1/12/2022 2:30,0.22
1/12/2022 2:45,0.44
1/12/2022 3:00,1.04
1/12/2022 3:15,0.7
1/12/2022 3:30,0.26
1/12/2022 3:45,0.76
1/12/2022 4:00,0.06
1/12/2022 4:15,2.08
1/12/2022 4:30,1.46
1/12/2022 4:45,1.16
1/12/2022 5:00,0.8
1/12/2022 5:15,0.36
